epoch;accuracy;loss;val_accuracy;val_loss
0;0.8571985;0.3261748566448299;0.916015625;0.4504580795764923
1;0.90507287;0.24074179231179646;0.9347484111785889;0.2539719343185425
2;0.92310685;0.20792604414723206;0.9406446814537048;0.5276080369949341
3;0.93915147;0.16663486748277762;0.9437893033027649;0.20015645027160645
4;0.9455088;0.14770304704833256;0.93907231092453;0.16874927282333374
5;0.9508282;0.13157922235696815;0.9276729822158813;0.20967799425125122
6;0.95614755;0.11581801491416677;0.9524371027946472;0.02695745974779129
7;0.9622454;0.10238511958195151;0.9473270177841187;0.5980955362319946
8;0.9650997;0.09082987937015848;0.9595125913619995;0.13767999410629272
9;0.9693983;0.08220626788685952;0.965015709400177;0.08996649086475372
10;0.9749459;0.07120616218542228;0.955581784248352;0.11382219195365906
11;0.9752627;0.06809676091882647;0.9622641801834106;0.12735103070735931
12;0.97863597;0.060302738165236784;0.9614779949188232;0.1608121395111084
13;0.9807118;0.05429578973113697;0.9504716992378235;0.43675023317337036
14;0.9820958;0.05040308903883718;0.9563679099082947;0.0006544210482388735
